num,stop
1,1-яСоюзная
2,10-ялиния
3,11МКР
4,12МКР
5,13-ялиния
6,14МКР
7,15МКР
8,16-ялиния
9,18-ялиния
10,2-йБрагинскийпроезд
11,2-яСоюзная
12,3-яСоюзная
13,5-ялиния
14,6МКР
15,8-йпереулок
16,9-ялиния
17,«Арена-2000»
18,«Резинотехника»
19,Автовокзал
20,Автотранспортноепредприятие
21,Аптека
22,Арена-2000
23,Асфальтовыйзавод
24,Базаоборудования
25,Битумныйзавод
26,Богоявленскаяплощадь
27,БольницаимениСемашко
28,БольницаимениСоловьева
29,Больница№2
30,Больница№8
31,Больница№9
32,Больничныйгородок
33,Борки
34,Борки-1
35,Борки-2
36,Борки-3
37,Бутрево
38,Бытовыетовары
39,Вишняки
40,Выемка
41,Гараж
42,Госпиталь
43,Гостиница«Турист»
44,ДОП
45,Долматово-1
46,Домколлектива
47,Доммоды
48,Домобуви
49,Домодежды
50,Дядьковская
51,ЖБК
52,ЖК«Норскиерезиденции»
53,ЖК«ЯрославльСити»
54,Железнодорожнаябольница
55,Жилойкомплекс«Династия»
56,Жилойкомплекс«Октябрь»
57,ЖилойкомплексОктябрь
58,Завод«КрасныйМаяк»
59,ЗаводОпытныхмашин
60,Знаменскаябашня
61,Зоопарк
62,Институт
63,КЗЦ«Миллениум»
64,Карачиха
65,Кафедральныйсобор
66,Кинотеатр«Аврора»
67,Кинотеатр«Дружба»
68,Кинотеатр«Победа»
69,Кинотеатр«Родина»
70,Кладбище
71,Комсомольскаяплощадь
72,Костромскоешоссе
73,Краснаяплощадь
74,КрасныйКустарь
75,Крестобогородская
76,Куксенки
77,Лакокраска
78,Ленинградскийпроспект
79,Леонтьевскоекладбище
80,ЛесныеПоляны
81,Локомотив
82,Локомотивноедепо
83,МКР«Промышленный»
84,Магазин
85,Магазин«Орбита»
86,Магазин«Турист»
87,МагазинБаза
88,Магазин№10
89,Магазин№55
90,Магазин№10
91,Магазин№55
92,Машприбор
93,Мебельсбыт
94,МедсанчастьЯЗДА
95,Молокозавод
96,Московскийвокзал
97,Мостоотряд
98,Мостотряд
99,Мукомольныйпереулок
100,Мышкинскийпроезд
101,Мясокомбинат
102,НЗКИ
103,НИИМСК
104,Невскийрынок
105,Нефтебаза
106,Новоселки
107,Областнаябольница
108,Областнаядетскаяклиническаябольница
109,Областнаяонкологическаябольница
110,Октябрьскаяплощадь
111,ПМК
112,Павловскийпарк
113,Парашютныйпроезд
114,ПарижскаяКоммуна
115,Парк1000-летиягородаЯрославля
116,Педагогическийуниверситет
117,Пельменная
118,Пивзавод
119,ПлощадьВолкова
120,ПлощадьКарлаМаркса
121,ПлощадьТруда
122,ПлощадьЮности
123,Полиграфкомбинат
124,ПоликлиникаСЖД
125,Поликлиника№5
126,Полимермаш
127,Поселок2-еБрагино
128,ПоселокВеликий
129,ПоселокКуйбышева
130,ПоселокМаяковского
131,ПоселокМясокомбинат
132,ПоселокСокол
133,ПоселокТолга
134,ПроездДоброхотова
135,Производственнаякомпания«Ярославич»
136,ПроспектДзержинского
137,ПроспектЛенина
138,ПроспектМашиностроителей
139,ПроспектТолбухина
140,ПроспектФрунзе
141,Радиозавод
142,Резинотехника
143,РекаНора
144,Речнойпорт
145,СТОА
146,Сабанеевская
147,Садоводческоехозяйство
148,Сельхозакадемия
149,Смоленское
150,Сортировочная
151,Спорткомплекс«Атлант»
152,СпорткомплексАтлант
153,Среднийпоселок
154,Стройдеталь
155,Стройучасток№2
156,Суздальскоешоссе
157,Суринское
158,ТК«Тандем»
159,ТСБ
160,ТЦ«Аксон»
161,ТЦ«Омега»
162,ТЭЦ-1
163,ТЭЦ-3
164,Таксопарк
165,Тверицы
166,Техническийуниверситет
167,Техуглерод
168,Толгоболь
169,Торгово-развлекательныйкомплекс«РИО»
170,Торговыйпереулок
171,Трамвайноедепо
172,Трест№7
173,Троицкаяаптека
174,Тутаевскоешоссе
175,Улица1-яБольничная
176,Улица2-яПутевая
177,Улица6-яОвражная
178,Улица8Марта
179,УлицаАвтозаводская
180,УлицаАкадемикаКолмогорова
181,УлицаАлмазная
182,УлицаБакуниха
183,УлицаБахвалова
184,УлицаБелинского
185,УлицаБерезовая
186,УлицаБольшаяОктябрьская
187,УлицаБольшаяФедоровская
188,УлицаБрагинская
189,УлицаВоинова
190,УлицаВойнова
191,УлицаВолгоградская
192,УлицаВолодарского
193,УлицаГагарина
194,УлицаГоголя
195,УлицаГородскойВал
196,УлицаГромова
197,УлицаГудованцева
198,УлицаДачная
199,УлицаДекабристов
200,УлицаДобрынина
201,УлицаДоронина
202,УлицаЕленыКолесовой
203,УлицаЖелезнодорожнаяселаТолгоболь
204,УлицаЖукова
205,УлицаЗакгейма
206,УлицаЗалесская
207,УлицаЗеленцовская
208,УлицаИльинская
209,УлицаИндустриальная
210,УлицаКалинина
211,УлицаКарабулина
212,УлицаКомсомольская
213,УлицаКорабельная
214,УлицаКрасноборская
215,УлицаКрасноперевальская
216,УлицаКрасноперекопская
217,УлицаКудрявцева
218,УлицаКуропаткова
219,УлицаЛескова
220,УлицаЛинейная
221,УлицаЛисицына
222,УлицаЛодочная
223,УлицаЛяпидевского
224,УлицаМагистральная
225,УлицаМайорова
226,УлицаМаланова
227,УлицаМалаяПролетарская
228,УлицаМельничная
229,УлицаМенделеева
230,УлицаМеханизаторов
231,УлицаНаумова
232,УлицаНефтяников
233,УлицаНьютона
234,УлицаПавлова
235,УлицаПанина
236,УлицаПанфилова
237,УлицаПапанина
238,УлицаПашуковская
239,УлицаПервомайская
240,УлицаПионерская
241,УлицаПирогова
242,УлицаПобеды
243,УлицаПроектируемая
244,УлицаПромышленная
245,УлицаРеспубликанская
246,УлицаРомановская
247,УлицаРыбинская
248,УлицаРыкачева
249,УлицаСаукова
250,УлицаСахарова
251,УлицаСахарова(ТЦ«Глобус»)
252,УлицаСветлая
253,УлицаСвободы
254,УлицаСиреневая
255,УлицаСлепнева
256,УлицаСоветская
257,УлицаСосновая
258,УлицаСпартаковская
259,УлицаСпортивная
260,УлицаСтроителей
261,УлицаСудостроителей
262,УлицаТруфанова
263,УлицаУрицкого
264,УлицаУхтомского
265,УлицаЧайковского
266,УлицаЧернопрудная
267,УлицаЧехова
268,УлицаЧкалова
269,УлицаШоссейная
270,УлицаЮности
271,УлицаЯрославская
272,Университетскийгородок
273,Учкомбинат
274,Фабрика«КрасныйПеревал»
275,ФедоровскийСобор
276,ФилиалЯЗТА
277,Филиалавтобазы
278,Хлебобаза
279,Хлебозавод
280,Хлебозавод№2
281,Хутор
282,ЦНТИ
283,Чурилково
284,Шевелюха
285,Шевелюха-1
286,Шевелюха-2
287,Школа
288,Школамеханизации
289,Школа№17
290,Школа№26
291,Школа№29
292,Школа№30
293,Школа№46
294,Школа№47
295,Школа№48
296,Школа№50
297,Школа№51
298,Школа№56
299,Школа№59
300,Школа№88
301,Шпалозавод
302,Элеваторная
303,Юбилейнаяплощадь
304,Юныйтехник
305,ЯЗДА
306,ЯЗХМ
307,ЯМЗ
308,ЯШЗ
309,ЯблоневыйПосад
310,Яковлевское
311,ЯрославльГлавный
312,Яртехуглерод
